episode,timestep,reward,cumulative reward
1165,1642393,1592.526,791.055
1170,1666308,5429.409,802.268
1175,1677206,468.845,804.635
1180,1689330,2469.057,807.757
1185,1703293,1804.893,812.046
1190,1711184,478.179,812.693
1195,1733143,4744.695,821.658
1200,1766126,4294.666,837.099
1205,1785242,988.702,844.532
1210,1804933,3165.840,852.189
1215,1833966,4825.990,865.253
1220,1853829,506.670,872.733
1225,1881066,3063.576,884.804
1230,1904704,5327.260,894.731
1235,1934769,5220.582,908.409
1240,1971484,5291.166,926.045
1245,1995343,5445.100,936.037
