episode,timestep,reward,cumulative reward
375,168229,362.256,194.787
380,170012,58.108,193.436
385,172440,385.329,192.814
390,174414,93.602,191.574
395,176259,124.540,190.250
400,178086,115.252,188.954
405,179805,88.249,187.636
410,181499,101.041,186.253
415,183613,68.738,185.536
420,185534,121.071,184.692
425,187695,119.937,183.925
430,190348,346.307,183.632
435,192787,130.992,182.616
440,195241,155.243,182.085
445,197975,122.391,181.349
450,200627,79.174,180.790
455,203452,114.800,180.409
460,206244,169.303,179.976
465,208702,161.238,179.458
470,211514,102.821,179.211
475,214345,136.087,179.331
480,216688,152.638,178.984
485,219043,165.847,178.713
490,221493,132.578,178.461
495,224784,182.403,179.234
500,227081,119.641,178.543
505,229476,107.156,177.868
510,231830,117.555,177.314
515,234127,126.602,176.751
520,236362,130.390,176.217
525,238714,149.675,175.821
530,241038,140.412,175.437
535,243214,149.957,175.048
540,245422,128.506,174.617
545,247838,150.203,174.380
550,250181,131.301,174.108
555,253155,141.622,174.020
560,255905,77.419,173.906
565,258718,181.471,173.915
570,260563,153.470,173.098
575,261717,11.028,171.742
580,262896,12.419,170.391
585,266854,312.797,172.060
590,268922,144.057,171.778
595,272976,173.360,173.434
600,275894,197.107,174.007
605,277296,72.599,173.159
610,279094,64.338,172.663
615,285176,76.447,176.217
620,288756,917.162,177.303
625,290837,18.888,177.044
630,296247,206.869,179.541
635,298545,587.232,179.640
640,300052,60.036,179.035
645,303839,1388.304,180.329
650,309713,689.748,183.269
655,315172,581.469,186.101
660,322403,268.704,190.332
665,324697,146.565,190.233
670,330242,39.932,192.974
675,332078,34.144,192.585
680,337072,70.964,194.782
685,343477,80.402,197.860
690,349450,1837.604,200.866
695,355378,2128.023,203.705
700,358404,164.832,204.016
705,364205,181.471,206.724
710,371193,185.750,210.398
715,383144,1919.657,218.052
720,396827,1457.534,226.862
725,408462,223.898,233.808
730,416937,1594.400,238.449
735,423308,477.445,241.085
740,426486,266.378,241.362
745,435436,1441.105,246.114
750,443597,617.485,250.309
755,456987,1720.238,258.477
760,472027,809.230,267.648
765,480263,710.787,271.702
770,487731,137.798,274.982
775,493982,229.145,277.438
780,508535,1863.456,286.231
785,518985,189.680,291.814
790,531271,2746.188,298.509
795,536464,467.940,300.015
800,543048,339.305,302.521
805,552228,1721.904,306.911
810,561076,2639.992,310.907
815,567265,444.572,312.974
820,574585,287.973,315.809
825,580305,399.838,317.464
830,588323,850.477,320.602
835,600215,376.548,326.373
840,614721,1759.573,334.213
845,630141,2079.460,342.536
850,639345,1568.026,346.527
855,649599,734.441,351.210
860,659783,282.733,355.778
865,674123,2567.047,363.276
870,688779,336.093,370.741
875,703395,2248.749,378.114
880,717624,738.990,385.099
885,726337,998.710,388.354
890,731207,29.540,389.086
895,741327,85.043,393.497
900,744774,765.979,393.101
905,754568,330.393,396.990
910,764633,1229.906,400.959
915,774879,2020.990,405.077
920,791082,1968.312,413.090
925,801976,1901.023,417.561
930,809127,1956.744,419.462
935,815403,142.044,420.951
940,826675,1882.578,425.470
945,836359,1327.112,429.077
950,842498,723.017,430.180
955,848415,1732.740,431.111
960,868142,1864.330,440.773
965,879372,1951.999,445.163
970,891672,2663.544,449.981
975,899757,785.653,452.252
980,915538,2732.185,459.294
985,926144,587.214,463.007
990,940334,2617.388,468.805
995,957157,2504.409,475.854
1000,974906,1640.954,483.468
1005,986882,735.635,487.775
1010,996906,1242.016,490.798
1015,1004451,1697.371,492.386
1020,1016648,2669.996,496.825
1025,1037814,1608.652,506.469
1030,1043737,1319.544,507.124
1035,1055035,1627.699,510.843
1040,1065364,2540.430,513.844
1045,1077596,1443.603,518.202
1050,1087105,1015.003,520.764
1055,1095853,2617.080,522.799
1060,1112181,2572.924,528.991
1065,1125877,829.318,533.767
1070,1140463,2595.255,539.039
1075,1151794,1327.266,542.517
1080,1165326,2565.826,547.077
1085,1175081,1632.925,549.545
