episode,reward,cumulative reward
10,94.407,72.953
20,19.966,68.068
30,55.849,68.343
40,55.577,69.091
50,90.754,70.524
60,71.686,69.434
70,47.471,68.098
80,78.191,64.881
90,64.398,65.215
100,100.479,66.498
110,40.512,64.537
120,26.710,63.850
130,41.783,62.939
140,50.367,62.535
150,29.841,60.396
160,25.020,58.484
170,71.976,56.764
180,18.116,54.600
190,8.185,52.972
200,29.535,52.210
210,44.461,51.459
220,50.018,51.033
230,17.604,50.011
240,78.159,50.432
250,37.588,50.504
260,38.560,49.763
270,107.019,49.861
280,35.110,50.138
290,69.466,50.795
300,43.974,50.860
310,43.822,50.755
320,36.588,50.631
