episode,timestep,reward,cumulative reward
5,1291,31.243,55.332
10,2787,78.564,55.871
15,4583,96.425,60.666
20,6334,120.784,64.921
25,7711,60.933,64.587
30,9294,77.562,67.086
35,10753,90.704,68.279
40,13288,198.975,73.307
45,15049,40.410,69.711
50,16637,38.105,65.813
55,18511,45.467,67.759
60,20649,172.645,71.526
65,22517,83.876,71.342
70,25151,79.342,75.292
75,26862,94.362,72.837
80,29225,33.008,75.613
85,31156,8.039,74.869
90,33613,58.310,77.596
95,36221,125.427,83.039
100,38567,148.489,85.787
105,41649,159.448,91.553
110,43303,50.006,92.344
115,44932,158.440,94.935
120,46475,155.602,96.238
125,48103,141.550,98.019
130,49674,150.428,99.722
135,51534,112.607,101.744
140,52942,101.221,101.450
145,55592,345.125,104.727
150,57015,308.196,103.907
155,58221,34.266,102.104
160,59320,29.828,100.227
165,60710,56.540,99.394
170,61997,116.556,98.348
175,63400,107.378,97.401
180,65426,114.204,98.997
185,67847,367.187,102.127
190,69697,137.877,102.647
195,71011,38.968,101.414
200,72874,59.758,101.927
205,75249,284.682,104.684
210,79519,564.877,112.355
215,82187,237.228,114.196
220,84044,228.397,115.250
225,85682,89.052,115.781
230,87306,185.996,116.504
235,89102,109.570,117.376
240,91845,157.274,119.891
245,94451,530.859,122.154
250,97041,348.509,123.933
255,99119,194.376,124.944
260,101004,198.253,126.012
265,102951,199.465,126.241
270,103961,30.252,124.307
275,106700,4.568,126.270
280,109380,404.083,127.418
285,112517,116.969,130.101
290,114622,80.025,130.414
295,117419,93.584,131.683
300,119187,122.406,132.176
305,123238,744.697,136.628
310,125756,345.882,137.529
315,129482,108.632,141.368
320,131053,93.669,141.115
325,136539,299.312,147.253
330,137725,71.710,146.389
335,141579,86.427,149.525
340,143664,192.822,149.265
345,145630,176.712,148.819
350,151332,151.298,155.028
355,152345,68.567,153.688
360,155120,45.779,154.902
365,160608,248.368,160.884
370,165253,289.153,164.741
375,168593,167.777,166.561
380,173139,600.961,170.214
385,179201,1481.787,175.252
390,186000,1075.111,182.713
395,188990,222.557,183.329
400,194002,215.103,187.239
405,201247,1122.603,194.498
410,206630,363.502,199.203
415,209014,149.288,198.957
420,215161,294.914,204.996
425,222835,868.337,212.433
430,226513,294.507,213.613
435,232828,1212.243,219.531
440,237222,585.740,221.736
445,250316,1159.862,236.673
450,256170,410.077,241.481
455,259589,143.584,242.930
460,262126,190.537,242.792
465,267944,258.650,247.260
470,275860,128.311,254.063
475,280226,405.358,256.364
480,291242,1443.434,267.047
485,296904,325.227,270.800
490,300650,893.216,271.870
495,311706,55.298,281.829
500,317561,1177.068,284.647
505,325669,1049.485,290.682
510,331091,346.386,293.747
515,339712,1789.083,300.301
520,351847,2843.721,311.254
525,361035,336.092,318.142
530,373990,2943.850,329.583
535,388580,-10.000,343.012
540,394891,1725.168,346.614
545,407325,986.907,357.062
550,417867,1759.553,364.954
555,430923,2111.498,375.291
560,440694,986.111,382.066
565,454788,917.115,393.601
570,463606,670.456,398.727
575,482765,3746.628,415.314
580,501152,4140.374,431.680
585,516718,1206.393,444.014
590,532793,4064.672,456.642
595,545627,2125.854,466.092
600,559879,2323.240,476.872
605,569665,2152.767,482.336
610,589021,2782.182,498.224
615,604800,2480.246,509.391
620,626762,1472.226,527.466
625,643838,3796.034,539.482
630,666664,1945.566,557.965
635,681116,3845.887,567.370
640,701258,3982.431,582.413
645,715184,2836.498,591.323
650,730519,3860.469,601.177
655,744136,217.187,609.202
660,757531,3956.872,617.025
665,770419,2736.093,624.250
670,779453,1050.089,627.947
675,800022,4042.348,642.316
680,820404,1050.111,656.460
685,838283,1389.271,668.270
690,861709,3270.384,684.837
695,876722,1630.256,693.812
700,885915,1658.166,697.225
705,910113,3174.434,714.319
710,927596,2493.387,725.259
715,941420,2843.431,732.076
720,956526,3028.893,740.094
725,971263,4087.829,747.880
730,995107,3186.082,763.650
735,1017505,2236.277,776.880
740,1046568,4425.015,795.162
745,1063915,2555.547,804.603
750,1086519,1491.670,818.076
755,1101144,185.899,824.571
760,1120098,218.163,834.934
765,1140879,516.949,846.466
770,1153927,4305.988,851.459
775,1170179,1787.302,859.203
780,1194912,4294.551,874.064
785,1211032,250.730,881.785
790,1231929,4505.906,893.217
795,1246713,4359.658,899.517
800,1261691,287.944,905.504
805,1282606,4107.183,916.263
810,1293257,976.028,918.321
815,1318659,3921.772,934.146
820,1346838,2909.425,952.182
825,1359628,1252.634,956.267
830,1370758,641.230,958.739
835,1389285,1276.838,967.622
840,1407437,1369.253,976.160
845,1425878,1355.243,984.908
850,1452375,4337.003,1000.378
855,1482395,4057.122,1018.626
860,1512627,4289.636,1036.779
865,1535124,2837.574,1048.420
870,1563780,4234.223,1065.119
875,1593481,4219.895,1083.035
880,1618399,2968.856,1096.773
885,1646684,2852.033,1113.363
890,1675646,4391.175,1130.285
895,1706184,4339.504,1148.132
900,1732625,4452.192,1162.587
905,1757521,1025.299,1175.778
910,1783809,3703.129,1189.419
915,1810087,2589.945,1203.325
920,1833851,4073.876,1215.100
925,1856829,3993.332,1226.113
930,1883396,4049.503,1240.005
935,1911158,3840.369,1254.382
940,1938741,3998.370,1268.701
945,1966749,4010.318,1283.082
945,1967883,4090.056,1283.908
950,1988903,4283.248,1292.572
955,2003336,4447.782,1295.515
